qid,context,question,answer,tag
foody_2830,"Được hôm mưa gió 2 vợ chồng mình rủ nhau qua đây ăn thử bánh canh ghẹ , vì mình vốn nghiện các món Huế và đà nẵng . Hào hứng bao nhiêu đến lúc bê bát bánh canh ra thấy thất vọng bấy nhiêu . Bát bánh canh thấy lõng bõng toàn nước , không đầy đặn , sợi bánh canh ngắn cũn , quá dai . Mình gọi bánh canh ghẹ nhưng chả thấy ghẹ đâu , ngoài mấy cái vụn vụn trong nước . Giò hơi có mùi , nước loãng , toàn vị mì chính . Không biết các món khác có khả quan hơn không , nhưng sau lần đầu tiên ăn thử này , có lẽ mình sẽ k bao giờ quay lại nữa
",Khách hàng có cảm nhận gì với bánh canh ghẹ ở đây?,thất vọng,foody
foody_225,"Sáng hôm qua mình mới ghé quán thử xem tại mình hay thích cà phê một mình . . Mình nghe quán được khen nhiều , nên đi kiếm thử
Ân tượng đầu tiên khi đứng trước quán là rất tĩnh lặng , có một cái gì đó rất nhẹ nhàng , bạn nhân viên thấy mình thì niềm nở ra dắt xe hộ nữa chứ ... >   < . . vô là gặp ngay bé mèo luôn , , , , thiệt đáng yêu
Mình chọn 1 phần blend ưa thích mà mình hay gọi ở các quán khác ... hehe ... blend uống lạ lắm . . nhưng mình rất thích vì vị thấy rất tươi ... . . thiệt hok uổng công mà ...
còn được tặng bánh muffin miễn phí nữa ... ... >   <
Buổi sáng nên không gian hết sức là yên tĩnh á ... cây xanh nhiều nên cảm thấy thoải mái lắm luôn ...
Kết lại là rất thích rất thích
",Ấn tượng đầu tiên của khách hàng về không gian quán là gì?,"rất tĩnh lặng , có một cái gì đó rất nhẹ nhàng",foody
foody_1848,"Vâng ! ! Quán tủ của mình ! ! ! ! ! Mình không ăn pizza đc ! ! ! Vốn ko thích vì có hành + các loại rau lạ các thứ ! ! : ) ) nhưng tới zone 7 bạn cứ bắt ăn , nói ngon các kiểu ! Nên cũng thử ... Trời ơi là ngon ! ! ! Siêu ngon ! Tỉ ngon nhé ! ! ! Cả cơm gà ... . Có 35k hoy mà cái đùi to gần nữa cái đĩa ! ! ! ! Gà thấm , cơm ngon , cái gì cũng ngon ... . Cả nhân viên nhiệt tình , đáng yêu , chăm khách cực ! ! Cứ rãnh là tới zone 7 măm hoài ! ! ! !
Chỉ tiếc là wifi yếu ! ! ! Lần nào cũng ko bắt đc ! ! ! Vậy nên h còn có 1 tấm ảnh hoy này ! : ( (
",Gà quán này làm thấy thế nào?,cái đùi to gần nữa cái đĩa ! ! ! ! Gà thấm,foody
foody_669,"1 hộp combo có thể chia cho 5 người ăn , mỗi người 2 cái là no luôn , mình order 2 hộp chia cho bạn bè . bánh tương đối to , tương xứng với giá của nó . đúng là tiền nào của đó . nhìu chỗ rất rẻ nhưng ăn 1 cái ko dám ăn cái thứ 2 , ở đây thì lại khiến ngta nhắc tới là thèm . ngon phải gọi là có thương hiệu riêng . xuất sắc tiệm nhé .
",Một combo có thể dành cho bao nhiêu người ăn?,5 người,foody
foody_2451,"Học ở gần đó thấy quán lâu rồi hôm qua mới có dịp ghé . Quán trang trí theo kiểu vintage khá đẹp . Không gian nhỏ , vì mua mang về nên mình cùng bạn ngồi đợi ở tầng trệt , không biết trên lầu thế nào nhưng ngồi dưới quá nóng . Mua matcha latte mà nói thiệt là với giá 39k thì quá dở , toàn thấy đá không uống xíu là hết , để lâu thì đá tan ra uống càng dở , whipping cream cũng dở luôn . Hỏi có e card không thì bị nói là chỉ áp dụng cho một chi nhánh . Chưa ăn thử hay uống thử mấy món khác , thấy mọi người review ngon mà bản thân thấy tệ quá chắc sẽ không quay lại nữa
",Không gian của quán được nhận xét như thế nào?,Quán trang trí theo kiểu vintage khá đẹp . Không gian nhỏ,foody
foody_1509,"Giá cũng khá ổn , đồ ăn nhiều , ướp thấm vừa ăn , có cái ống hút khói cũng vui vui . Mấy em phục vụ nhiệt tình , đôi lúc thấy quán đông nên tự xử lấy đá và khui bia , mấy em liền lon ton chạy lại giúp . Kết món "" Chẳng dừng "" với món vú heo nướng . Tổng thiệt hại cho lần này khoảng hơn 800k cho 5 người . Lần sau sẽ ghé thử tiếp các món còn lại . : )
",Chi phí ăn nếu đi nhiều người là khoảng bao nhiêu?,khoảng hơn 800k cho 5 người,foody
foody_258,"Quán ngay gần bưu điện . Tranh thủ tạt luôn
Không quan nhỏ , ấm cúng .
Ngoài quầy bánh cũng đã kê thêm 2-3 chiếc bàn con cho khách ngồi ăn tại chỗ
Nay qua thử vị trà xanh đậu đỏ . Bánh ngon , cắn miếng thấy mát lạnh . Đậu đỏ mình đã lo bị nghiền ra nhưng may quá , quán để nguyên hạt nên nhai ko sượng mồm tý nào
",Cách nhận diện quán là gì?,ngay gần bưu điện,foody
foody_1960,"Ở đây chế biến tương đối bẩn . Mình đi làm ở rất gần chỗ này nhưng lâu lâu bí quá mới mua bánh mỳ ở đây . Thịt sống được đựng trong 1 cái xô cáu bẩn đen thui , người bán dùng tay không làm hết việc này đến việc nọ , đụng hết cái này đến cái kia rồi vẫn dùng tay không để làm bánh mỳ , thấy xong là hết muốn ăn @ @
",Quán này về mặt vệ sinh được khách nhận xét gì?, chế biến tương đối bẩn,foody
foody_3168,"Trước đây ở khu vực này bán trà sữa rất ngon và hấp dẫn với món đặc sản là "" năng mai "" ( trà sữa củ năng bánh flan phô mai ) . Bọn mình thường ra đây và mỗi cuối tuần . Cơ mà hiện giờ thì quán có vẻ nổi tiếng hơn nên đông hơn . Thái độ phục vụ không được tốt nữa và trà sữa cũng không còn ngon . Chắc chắn sẽ không bao giờ quay lại đây nữa .
",Khu vực này bán trà sữa có mùi vị thế nào?,rất ngon,foody
foody_836,"Tình cờ mình được bạn mình giới thiệu tới quán này nghe nói nước uống quán này ngon lắm , 
mới đầu mình không biết uống gì thì được chủ quán giới thiệu cafe Les Amis uống rất ngon và lạ 
ngoài ra trên tần 1 có phục vụ hát với nhau âm thanh ánh sáng khỏi chê luôn , 
hiện giờ đang có chương trình mua 1 tặng 1 mọi người có dịp nhớ ghé quán ủng hộ nha 
chủ quán và nhân viên nhiệt tình lắm
",Khách hàng biết đến quán bằng cách nào?,được bạn mình giới thiệu,foody
foody_301,"Quán này không gian khá rộng . Mát . Mình đi ăn 2 người . Món đầu tiên là gỏi xoài ốc giác 100k , ăn khá lạ miệng . Món thứ 2 la cơm Chiên ghẹ , 100k . nghe noi cug la đặc sản của quán . Món thứ 3 ốc voi xào lá quế , 1 dia 180 . 2 chai heniken 36k . Noi chug o đây chế biến món Ăn vừa miệng . Nhug giá hơi cao .
",Đánh giá của khách hàng về không gian của quán là gì?,khá rộng,foody
foody_329,"Chỗ này đích thị chỉ là một cái tủ bánh flan với vài cái ghế nhỏ , kế bên là 1 dì bán phá lấu
Bánh flan truyền thống thì cũg bt , còn bánh flan dừa thì lạ lạ miệg nhưg cũg k đặc sắc mấy . K béo , k ngon bằng chỗ mình hay ăn ở cư xá phú lâm , vì chỉ có cà phê , đến khi nó tan nước đá ra thì nhạt nhẽo chẳng còn vị gì nữa
Dì bán bánh flan tính tình thì thẳng đuột , nhìu khi nc mà cứ tưởng đag chửi vô mặt mình : D thấy cũng vui vui , nhưng bực cái là bả cứ làm cho ng đến sau , tới chừng mình nhắc thì gạt ngag = . =
Lo ăn nên quên chụp lại cái background cho mọi ng dễ tìm
",Hương vị của bánh flan như thế nào?,"chỉ có cà phê , đến khi nó tan nước đá ra thì nhạt nhẽo chẳng còn vị",foody
foody_2748,"Chán vô cùng . Cái gì cũng cứng k có độ mềm của bánh . Bánh gato cuộn trà xanh k ngon và thơm như bánh ở ocean mart , bánh gì đó có caramen ở trên thì cứng kinh khủng , bôg lan trứg muối còn tệ hơn , bánh k có độ mềm xốp của bôg lan , cứng như kiểu đã để lâu rồi ý . Mình gọi sih tố việt quất và sinh tố nho thì sto nho có mùi thối k tả . Bạn mình gọi nvien ra hỏi thì họ lờ lớ lơ đánh trống lảng . Cực kì thảm hại !
",Mùi vị của sinh tố nho ở đây như thế nào?,có mùi thối k tả,foody
foody_906,"khách ruột của quán luôn , 
nhưng mình vẫn hay ngồi bên trần phú hơn mặc dù quán ở hồ sen gần nhà mình . 
Đồ uống ở đây đặc biệt là cf rất ngon , 
nếu bạn nào uống được đắng thì hãy thử 1 ly espresso machiato nóng sẽ thấy vị đắng và hương cf rất thơm , đậm vị , 
nhân viên quán thì vô cùng thân thiên nhiệt tình luôn , 
lại còn 1 điểm cộng là quán có thẻ tích điểm , 
1 ngày nào đó thèm cf mà lại hết tiền nhớ ra trong ví còn thẻ tích điểm thì cuộc đờ nở hoa luôn ấy chứ : ) ) ) )
",Khách hàng tự nhận mình là vị khách như thế nào đối với quán?,khách ruột của quán,foody
foody_1800,"Hôm nay 20/10 liên hoan công ty ở đây , mình giới thiệu cả công ty đến quán các bạn nữ rất mê : ) )
Ưu điểm là chứa được nhiêu người . Bàn mình 34 người vẫn chứa được . Chủ quán rất thân thiên thấy tốp mình đông nên giảm cho hẳn 20% . Đồ ăn vẫn rất ngon . giá bình thường ko rẻ ko đắt . Nhưng nhân viên chậm .
Rất ưng quán để tụ tập
",Quán có đặc điểm gì phù hợp cho việc tổ chức ăn đông người?,chứa được nhiêu người . Bàn mình 34 người vẫn chứa được,foody
foody_2043,"Đi chơi về khát nước nên vô uống lun
Sao đi đâu cũng gặp nhân viên chán dễ sợ khách tự mở cửa vào tự kiếm bàn ngồi phải kêu thì nhân viên mới đem menu ra rồi 5p sau mới đem trà đá ra trong khi đó nhân đứng ngày cửa gần bàn lấy trà đá đem cho khách 2 nhân viên cứ nói chuyện không quan tâm khách
Định về nhưng nghĩ order rồi về tội ngta
Được cái nước uống tuyệt vời mình kêu mocha với matcha
Mocha thơm béo béo không quá ngọt
Matcha phải nói lần đầu tiên uống ly matcha mà ngon như vậy đậm vị matcha luôn
Vì nằm ở vị trí là quận nhất giá 65k/1ly là không quá mắc và so với chất lượng
Không gian thoải mát
",Nhân viên quán này đã ứng xử với khách thế nào?,khách tự mở cửa vào tự kiếm bàn ngồi phải kêu thì nhân viên mới đem menu ra rồi 5p sau mới đem trà đá ra trong khi đó nhân đứng ngày cửa gần bàn lấy trà đá đem cho khách 2 nhân viên cứ nói chuyện không quan tâm khách,foody
foody_2509,"Khoai tây rất ngon và giòn có nhiều hình dáng và có rất nhiều loại sốt tha hồ lựa chọn , đi có 3 người mà kêu nguyên cái combo đã vậy còn kêu thêm phần ăn thêm nửa , giá cả hợp với túi tiền cách bày trí lạ mắt tạo cảm giác gióng mình đang ở một khu ngoại ô ô của nước anh gì đó , và sốt được dọn trên một chiếc chén rộng vành đặt trên một ngọn nến giữ được độ nóng cho sốt rất tuyệt
",Khoai tây ở quán được nhận xét như thế nào?,rất ngon và giòn có nhiều hình dáng và có rất nhiều loại sốt tha hồ lựa chọn,foody
foody_2740,"Hồi trước vô đây hay gọi cơm chiên bọc trứng của tiệm Trung Quốc mà từ khi tiệm đó dẹp rồi chuyển qua fan ruột của Dae Jang Geum . = ) ) ) ) ) ) ) ) ) Ông chủ Hàn Quốc nên đồ ăn chính hiệu Hàn Quốc luôn . 1 thố cơm trộn nướng tầm 80k xứng với chất lượng và vị trí ngồi view đẹp . Cơm ngon nhức răng luôn ấy . Ăn hết cái thố này no lăn . Ốp la đúng chuẩn ko quá chín vẫn còn đủ độ sống để khi trộn cơm quyện với nhau . Kim chi , canh rong biển , cá cơm kho , ... . perfect ! !
",Một thố cơm trộn nướng có giá bán là bao nhiêu?,80k,foody
foody_1242,"Nhiều bạn lên ăn không đúng chỗ rồi hỏi tại sao bánh tráng nướng đà lạt có gì ngon đâu mà ai cũng khen . Mình đã đi ăn bánh tráng nướng nát cái Đà Lạt từ chợ ra Khu Nguyễn Văn Trỗi ... người ta nói ở đâu ngon là mình thử hết , rốt cuộc nó dở tàn canh giá lạnh . Chỉ có quán này là mình mới ưng ý . Bánh tráng giòn thơm ngon , cái vị nào ta nói cũng ngon hết . Nhân viên thì dễ thương nữa . Bữa bạn gái vơi mình đi ăn thì ngồi chỗ bị mưa văng chút xíu . Cái anh nướng bánh tráng đi ngang thấy vậy lấy cái bàn dựng lên che cho mình . Lúc nào mình ra Đà Lạt cũng ghé đây ăn như điên : D
",Bánh tráng ở quán mà khách hàng ưng ý có chất lượng thế nào?,"giòn thơm ngon , cái vị nào ta nói cũng ngon hết",foody
foody_789,"Đã ăn ở aeon lẫn ở đây . Nhưng không thích ở đây bằng aeon . 
Tụi mình đi 6 7 đứa ăn 6 tô và rất nhiều tempura . 
Vì lần đầu ăn ở aeon mall đc tặng trà miễn phí nên mình tính tiên xong lên lầu ăn và hỏi thì nhân viên mặt hơi thiếu thiện cảm kêu chi nhánh này phải bỏ tiền mua : ) ) ) 
ăn chỗ này cũng lâu rồi mà giờ mình chưa quay lại vì cứ có cảm giác như nhân viên khinh học sinh : )
","So với nơi khác, khách hàng có nhận xét gì về quán?",không thích ở đây bằng aeon,foody
foody_85,"Thèm nem nướng Nha Trang nên đến ăn thử . Ăn cũng được , nhưng chẳng giống NT xíu nào . Cách pha nước chấm không giống , bánh tráng chiên hơi ngọt , nem nướng khô . Chả hiểu sao cũng đông khách : v . 3người gọi 3phần nem thấy không đủ nên gọi thêm bánh bèo khay . Chờ hoài ko thấy thì bảo là hết bánh bèo . Chè khúc bạch ăn cũng ko ngon lắm , tạm thôi . Hơi bực mình là lúc ăn gần xong , có khách đến mà ông chủ bảo "" chờ xíu bàn này ăn gần xong rồi , tí ghép vào "" . Mình còn ngồi ngay đó mà , nghe như đuổi khách vậy . Sẽ ko ghé lần nào nữa , mặc dù gần nhà .
( nem chưa kịp chụp nên chỉ có hình khúc bạch )
",Khách hàng đánh giá gì về món ăn của cửa hàng?,"Ăn cũng được , nhưng chẳng giống NT xíu nào",foody
foody_107,"Mua voucher ben Hotdeal để ăn NH HƯƠNG SEN vì thấy khá nhiều review tốt . Nh khá sang trong vì nằm ngay 70 đồng khởi q 1 có nhiều khách Tây nhưng đồ ăn thì dở tệ . Cua rang me thì cua tanh , không tươi , nước me không chua mà kẹo giống như pha bột năng . Cơm chiên cá mặn lạt nhách không chút hương vị , nói chung chỉ có súp măng cua ăn tạm được còn tất cả đều không ngon . Được cái phục vụ good hết đồ ăn thì châm nhanh , nhiệt tình nhưng để quay lại thì không bao giờ
",Địa chỉ của quán là ở đâu?,70 đồng khởi q 1,foody
foody_1629,"Mình đến quán vào buổi chiều , vẫn với cánh cửa đỏ đặc trưng của US . Ấn tượng khi bước vào không gian quán khá rộng và thoáng , mình order capuchino và matcha ice blend , chọn vị trí ngồi trên gác lửng , view ngìn xuống dưới khá đẹp . Thức uống ngon và giá cả khá rẻ so với mặt bằng chung , nhạc tiếng anh nhẹ nhàng , tạo cảm giác khá thoái mái . Lúc ra về nhân viên cười chào khách và cảm ơn rất thân thiện .
",Chỗ ngồi ở đâu trong quán có thể nhìn cảnh đẹp?,vị trí ngồi trên gác lửng,foody
foody_692,"Rất ấn tượng với cơm gà bà Buội ở Hội An nên phải tìm đến ngay . Quán trang trí khá đẹp , kiểu nhà cổ cổ . Bọn mình đi 2 người , gọi 2 suất cơm gà và nộm gà thì phải . Đúng là cơm gà ở đây về trình bày thì rất ưng mắt nhưng mà hơi ít . Các bạn nữ thì ổn nhưng các bạn nam muốn no phải gọi thêm . Theo mình cơm cũng không phải ngon lắm , hơi cứng và hơi khô . Nộm gà ăn khá ổn . Đặc biệt ăn cơm gà mà uống nước ngô thì thôi rồi là hợp .
Cuối cùng về phục vụ thì các bạn trẻ phục vụ nhanh mà rất nhiệt tình nha . Khi nào nhớ Hội An chắc mình sẽ quay lại
",Kiểu trang trí của quán ra sao?,"khá đẹp , kiểu nhà cổ cổ",foody
foody_1850,"Mình đã từng ăn buffet trưa và tối tại đây vài lần , lầu 3 .
Đồ ăn cực kì ngon , chất lượng . Thái độ nhân viên dễ thương . Không gian rộng rãi , view rất đẹp .
Bánh ngọt bánh nào cũng ngon và đẹp . Hải sản tươi ngon . Con cua còn bò bò luôn . Nói chung giá có mắc những đúng chuẩn nhà hàng cao cấp . Vô cùng thích chỗ này .
Buffet trưa khoảng 600K từ 12g đến 3 g
Buffet tối giá hơi cao khoảng hơn 800K nếu tính thuế luôn .
Đừng kêu rượu ở đây . Rất mắc . 1 ly Hennessy có một ngụm tính đến 500K .
",Cua ở đây tươi như thế nào?,còn bò bò luôn,foody
foody_1807,"Quán có view vừa mắt , thoáng mát .
Tuy nhiên quán gần trường ĐH khách hàng chủ yếu lại là SV thì giá cả lại khá là cao , quán chủ yếu là ở ngoài trời tận dụng gió thiên nhiên thì giá nên phân chia riêng cho phòng lạnh và bên ngoài .
Về chất lượng , mình đi 2 lần , 1 lần gọi rau má ( uống cảm thấy rất bình thường , thậm chí là không ngon ) , lần thứ 2 đi đông người nên gọi sinh tố bơ , sinh tố thập cẩm , mì kim chi và cơm bò xào , sinh tố uống cũng rất bình thường , trang trí không bắt mắt , mì khá mặn , cơm trang trí khá đẹp tuy nhiên giá cả lại không tương xứng : (
Điểm cộng của quán là có hồ cá Koi rất đẹp mắt , không gian thoáng mát yên tĩnh .
",Thực khách tại đây đa phần là ai?,SV,foody
foody_3117,"Trước khi coi phim mình và gia đình chạy vào ăn cho đỡ đói . Quán nằm ngay tầng trệt của siêu thị , không gian thoáng . Bạn nhân viên nói giọng kì kì , khó nghe và giải thích chương trình khuyến mãi thì ấp a ấp úng rất khó hiểu luôn . Mình gọi phần bò bittet , khoai tây 138k thì phải , ăn không ngon , nêm mặn , thịt bò thì mềm nhưng ăn rất khô luôn , và 2 phần bò thái lát vs hambeger nướng 85k / 1 phần , giá cao nhưng không đi với chất lượng . Quán có chương trình khuyến mãi ăn 3 phần được tặng 1 phần nên cũng được . Chắc không quay lại nữa .
",Không gian quán được khách hàng nhìn nhận ra sao?,thoáng,foody
foody_2819,"Mình đến được 2 lần rồi , phục vụ siêu dễ thương , rất lịch sự với khách . Khong gian sạch sẽ , ấm áp còn co cả một kệ truyện dài nữa , mình rất thích cách bày trí của quán này
Cơm trộn ngon hơn những quán trước đây mình tưng ăn , vị đậm đà mang len vẫn còn nóng hổi , sushi thi khỏi chê , cá hồi tươi , ko tanh . Mách nhỏ các b nên thử sushi bò nướng và cá hồi bơ
Súp miso có rong biển dai dai , trà đá châm liên tục nói chung là rất hài lòng , menu đa dạng còn rất nhiều nhất định minh sẽ ghé lại để thử ! !
",Khách hành thích điều gì ở quán?,cách bày trí của quán,foody
foody_3023,"Vừa đi xử ở đây xong , đi cùng vs ny nên cũng chỉ gọi có mỗi 1 cái lẩu bò : ) 140k : ) lẩu cũng vừa thôi , có mỗi dĩa rau bé tẹo ăn kèm cùng vs 3 vắt mỳ trứng nhỏ , đối với 2 ng thì đủ chứ còn đi nhóm 3 ng thì chắc ko đủ đâu : ( nv pv khá là tệ , bảo vệ cũng rất là điêu khi bọn mình ra , ko dắt xe ra dùm mà còn nói cho xin mấy ngàn lẻ hút điếu thuốc nữa chứ : ) ) @ @ nói như đúng r : ) )
",Giá một nồi lẩu bò của quán là bao nhiêu?,140k,foody
foody_1605,"Quán dễ tìm . Ngay bên hông lotteria Phan Xích Long luôn . Thích quán lâu rồi . Đồ ăn thì khỏi chê . Mình thích mỳ quảng và cơm hến . Cơm hến xào thì hơi cay . My quảng nước dùng vừa miệng . Cho nhiều rau . : D
  Menu cũng nhiều món huế giá tầm 20k-50k thôi . Chị chủ nhiệt tình , chu đáo lắm . 
",Khách thích món gì ở quán này?, mỳ quảng và cơm hến,foody
foody_867,"Fan ruột của Ding Tea nhưng không thể mê nổi quán này !
5 lần mình đến thì có đến 3 lần là hết vị socola hoặc là không có trân châu hoặc là không có hồng trà = = ""
Vài ngày trước mình mua 5 cốc trà sữa hokkaido thì hết nha đam , đã thế nhân viên ở đây còn quên không bỏ đường vào 1 cốc !
Rất thích Ding Tea nhưng nếu tình trạng này còn kéo dài nữa thì mình thà ra Chattime còn hơn -   -
",Điều tồi tệ gì đã xảy ra vào những lần bạn đến quán?,5 lần mình đến thì có đến 3 lần là hết vị socola hoặc là không có trân châu hoặc là không có hồng trà,foody
foody_859,"Quay trở lại đây lần 3 cùng đồng bọn , 
lần này mình gọi món nước matcha đá nguyên chất 48k/ly 
và thấy nước vẫn ngon dù không có bánh mochi và thạch . 
Nước uống vào béo béo thơm thơm pha chút vị đắng chứ ko đắng nghét hay chua chua như mấy chỗ khác làm dở . 
Bạn mình gọi ly mocktail siêu bự , uống vô lạ lạ mà ngon , 
bọn mình có kêu phần kem matcha nữa thì thấy kêu rất hợp lý , giá ko mắc mà kem đặc , có bột đậu đỏ rồi có mochi trà xanh kèm thạch nữa . 
Mình có gọi thêm ly yaourt matcha đá xay thì đá xay rất nhuyễn và vị cũng thơm . 
Nói chung matcha chỗ này là hết sẩy .
",Bạn đã đến đây lần thứ mấy?,lần 3,foody
